paper,method,method_role,mean_hypervolume_proxy,mean_budget_feasibility_rate,mean_feasibility_rate,mean_constraint_violation_rate,mean_ranking_stability,mean_trace_completeness,mean_move_trace_completeness,mean_reliability_benefit_proxy,mean_renewable_benefit_proxy,mean_runtime_s,runs
p5,Random Feasible,baseline,5.33646771,0.99823810,0.99823810,0.00176190,0.69090905,0.64216825,0.59823413,8.01953419,28.97496509,0.00006487,28
p5,AHP-TOPSIS,baseline,1.88016159,1.00000000,1.00000000,0.00000000,0.80620000,0.86360000,0.72960000,1.90555556,170.15216842,0.00013269,28
p5,Ablation-SingleObjective,ablation,1.86515119,1.00000000,1.00000000,0.00000000,0.78920000,0.82840000,0.70400000,1.90555556,170.15216842,0.00013846,28
p5,Weighted Sum,baseline,1.83513038,1.00000000,1.00000000,0.00000000,0.78240000,0.75800000,0.65280000,1.90555556,170.15216842,0.00012783,28
p5,NSGA-II,baseline,1.83137778,1.00000000,1.00000000,0.00000000,0.79600000,0.74920000,0.64640000,1.90555556,170.15216842,0.00013595,28
p5,Ablation-NSGA2Only,ablation,1.83137778,1.00000000,1.00000000,0.00000000,0.79600000,0.74920000,0.64640000,1.90555556,170.15216842,0.00013083,28
p5,MOEA/D,baseline,1.82387257,1.00000000,1.00000000,0.00000000,0.78620000,0.73160000,0.63360000,1.90555556,170.15216842,0.00012623,28
p5,Greedy BCR,baseline,1.81824878,1.00000000,1.00000000,0.00000000,0.76460000,0.71840000,0.62400000,1.90555556,170.10829699,0.00015013,28
p5,Ablation-NoRenewableFeatures,ablation,1.72184011,0.96351098,0.96351098,0.03648902,0.84937483,0.93117664,0.98074286,3.47581964,12.88214595,0.00060711,28
p5,Ablation-NoFeasibilityRepair,ablation,1.64731305,1.00000000,1.00000000,0.00000000,0.75760000,0.92520000,1.00000000,0.95277778,96.57988421,0.00064503,28
p5,Ablation-NoReliabilityFeatures,ablation,1.64731305,1.00000000,1.00000000,0.00000000,0.85680000,0.92520000,1.00000000,0.95277778,96.57988421,0.00068995,28
p5,Ablation-NoScheduleRisk,ablation,1.64731305,1.00000000,1.00000000,0.00000000,0.85680000,0.92520000,1.00000000,0.95277778,96.57988421,0.00068955,28
p5,Ablation-SmallProjectPool,ablation,1.64541569,1.00000000,1.00000000,0.00000000,0.84700000,0.91640000,1.00000000,0.95277778,84.76068421,0.00031404,28
p5,Ablation-NoPreferenceRanking,ablation,1.62004019,1.00000000,1.00000000,0.00000000,0.70280000,0.85118400,1.00000000,0.95277778,96.57988421,0.00065464,28
p5,TRACE-MOEA,proposed,1.59948270,1.00000000,1.00000000,0.00000000,0.89220000,0.94720000,1.00000000,0.76222222,78.89734737,0.00070150,28
