paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,runtime_s,source_status
p6,budget_constrained_selection,NSGA-III,baseline,14,0.16254603,40,0.84093388,22.78666494,1.81834528,0.28789940,11,0,0,0.00000000,0.102158,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,15,0.12381515,40,0.97001059,15.30134449,57.62605209,0.23854969,12,0,0,0.00000000,0.098900,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,16,0.14598680,40,0.76471287,19.87430694,0.90764933,0.28461943,10,0,0,0.00000000,0.099328,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,17,0.14832906,40,0.76850075,19.95812562,1.48343248,0.28061943,10,0,0,0.00000000,0.098444,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,18,0.14182986,40,0.97650700,18.75553170,16.89973221,0.25562461,12,0,0,0.00000000,0.102852,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,19,0.15338699,40,0.93951902,20.60089304,20.56204933,0.26191620,12,0,0,0.00000000,0.100381,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,20,0.17074092,40,0.97221239,24.61787620,5.54930240,0.29729937,12,0,0,0.00000000,0.101136,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,21,0.13206163,40,0.98702396,15.84892541,79.55114994,0.24056635,12,0,0,0.00000000,0.099102,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,22,0.15706350,40,0.97706758,21.85702440,23.18770328,0.28627445,12,0,0,0.00000000,0.100871,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,23,0.14901158,40,0.96544594,20.13423673,50.62704301,0.26858286,12,0,0,0.00000000,0.103943,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,24,0.15948993,40,0.94020484,21.94776823,18.50374285,0.26796620,12,0,0,0.00000000,0.099508,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,25,0.16061535,40,0.94939958,22.39355647,30.58840113,0.28092445,12,0,0,0.00000000,0.099346,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,26,0.15351532,40,0.86243613,21.07492612,18.34424501,0.27663585,11,0,0,0.00000000,0.099072,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,27,0.15410027,40,0.92002169,21.20905992,1.62658717,0.26393286,12,0,0,0.00000000,0.101165,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,28,0.15063082,40,0.92563666,20.32263957,3.27085033,0.28687221,11,0,0,0.00000000,0.099128,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,NSGA-III,baseline,29,0.12114089,40,0.89009972,15.20941146,50.97631525,0.24310875,11,0,0,0.00000000,0.099185,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,0,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.308632,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,1,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.304959,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,2,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.310509,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,3,0.04010252,5,0.16930702,3.08938924,20.40888964,0.27454953,2,0,0,0.00000000,0.307618,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,4,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.298213,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,5,0.02487903,5,0.18094474,0.38111111,31.58027368,0.18840000,2,0,0,0.00000000,0.304518,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,6,0.02595345,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.299337,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,7,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.301626,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,8,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.311915,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,9,0.02534382,5,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.301039,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,10,0.04049253,5,0.07754011,0.42388371,1.02648000,0.14840000,1,0,0,0.00000000,0.305034,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,11,0.02534382,5,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.302571,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,12,0.02604686,5,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.301036,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,13,0.02534382,4,0.07118984,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.302932,public_rts_simbench_nerc_project_review_v2_real_algorithms
p6,budget_constrained_selection,MOEA/D,baseline,14,0.03689548,3,0.09264037,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.304734,public_rts_simbench_nerc_project_review_v2_real_algorithms
