dataset,horizon_hours,method,method_role,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
OPSD time_series_60min_singleindex,1,Persistence,baseline,1263.891504,1819.625689,0.03751365,0.03769869,0.01477804,1745.008175,0.004125,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Seasonal-24h,baseline,2524.488834,4306.322861,0.07357727,0.07427010,0.02951755,4242.110714,0.008104,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Weekly-168h,baseline,2054.935944,3781.789574,0.05627563,0.05512765,0.02402731,4611.381270,0.013067,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,MovingAverage-24h,baseline,4023.275114,5284.283919,0.12605857,0.12186350,0.04704209,6315.640430,0.029724,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,AR-Calendar Ridge,baseline,764.092653,1108.078541,0.02275094,0.02275382,0.00893414,1269.337012,2.602502,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Euclidean-GCN Ridge,baseline,759.858453,1104.423455,0.02250389,0.02249442,0.00888464,1267.025034,5.159775,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,GCN-Temporal Ridge,baseline,759.858453,1104.423455,0.02250389,0.02249442,0.00888464,1267.025034,5.114338,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,HyG-LoadFormer,proposed,775.376573,1132.408885,0.02298243,0.02300246,0.00906608,1198.791159,12.986311,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Ablation-EuclideanGraph,ablation,759.858453,1104.423455,0.02250389,0.02249442,0.00888464,1267.025034,5.267982,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Ablation-FixedCurvature,ablation,759.699753,1104.048517,0.02248453,0.02247788,0.00888278,1270.008119,5.213318,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Ablation-TemporalOnly,ablation,764.092653,1108.078541,0.02275094,0.02275382,0.00893414,1269.337012,2.959549,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Ablation-NoCalendar,ablation,720.885501,1084.865344,0.02068559,0.02069925,0.00842894,1252.321549,3.252908,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,1,Ablation-EqualNeighbors,ablation,761.423522,1105.256593,0.02257635,0.02256915,0.00890294,1267.195737,5.273888,145992,62994,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Persistence,baseline,2529.349464,4311.002603,0.07371832,0.07441274,0.02957439,4245.577939,0.004078,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Seasonal-24h,baseline,4039.561929,6070.239793,0.11837385,0.11688417,0.04723253,6742.863607,0.016541,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Weekly-168h,baseline,2057.012393,3784.774240,0.05632632,0.05517142,0.02405159,4614.447908,0.015227,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,MovingAverage-24h,baseline,5030.617788,6665.585643,0.15509764,0.15070043,0.05882044,8536.793940,0.038227,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,AR-Calendar Ridge,baseline,2222.279847,3312.783689,0.06925376,0.06914868,0.02598398,3970.554501,2.763013,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Euclidean-GCN Ridge,baseline,2214.300915,3289.575039,0.06942535,0.06923375,0.02589069,3944.274464,5.281909,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,GCN-Temporal Ridge,baseline,2214.300915,3289.575039,0.06942535,0.06923375,0.02589069,3944.274464,5.233196,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,HyG-LoadFormer,proposed,1426.946424,2648.564792,0.04029453,0.03988161,0.01668455,3061.326022,12.055893,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Ablation-EuclideanGraph,ablation,2214.300915,3289.575039,0.06942535,0.06923375,0.02589069,3944.274464,5.235079,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Ablation-FixedCurvature,ablation,2213.631046,3295.138702,0.06915059,0.06892480,0.02588285,3935.213539,5.477057,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Ablation-TemporalOnly,ablation,2222.279847,3312.783689,0.06925376,0.06914868,0.02598398,3970.554501,2.899135,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Ablation-NoCalendar,ablation,2499.898404,3582.941441,0.07326640,0.07268436,0.02923003,4383.577105,3.318976,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
OPSD time_series_60min_singleindex,24,Ablation-EqualNeighbors,ablation,2213.570458,3290.243742,0.06932875,0.06913191,0.02588215,3946.881846,5.146145,145992,62856,public_data_benchmark_v3_validation_gated_residual_hyg
